Order ID,Order Date,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,Sales,Quantity,Discount,Profit,Profit Margin
EMEA-2023-143259,2023-12-31,United Kingdom,London,EMEA,UKIR,Morgan Stanley,1068,Finance,SMB,Marketing Suite,323.136,4,20.0,12.1176,3.75
EMEA-2023-143259,2023-12-31,United Kingdom,London,EMEA,UKIR,Morgan Stanley,1068,Finance,SMB,Site Analytics,90.93,7,0.0,2.7279,3.0
AMER-2023-115427,2023-12-31,United States,Columbia,AMER,NAMER,Aviva,1006,Finance,Strategic,ContactMatcher,13.904,2,20.0,4.5188,32.5
AMER-2023-115427,2023-12-31,United States,Columbia,AMER,NAMER,Aviva,1006,Finance,Strategic,ContactMatcher,20.72,2,20.0,6.475,31.25
APJ-2023-126221,2023-12-31,India,Mumbai,APJ,IND,Merck,1064,Healthcare,Enterprise,OneView,209.3,2,0.0,56.511,27.0
EMEA-2023-143259,2023-12-31,United Kingdom,London,EMEA,UKIR,Morgan Stanley,1068,Finance,SMB,ContactMatcher,52.776,3,20.0,19.791,37.5
EMEA-2023-156720,2023-12-31,Russia,Moscow,EMEA,EU-EAST,Tyson Foods,1088,Consumer Products,SMB,Storage,3.024,3,20.0,-0.6048,-20.0
EMEA-2023-158526,2023-12-30,Ireland,Dublin,EMEA,UKIR,Costco Wholesale,1025,Retail,SMB,ChatBot Plugin,34.58,1,0.0,10.0282,29.0
AMER-2023-158673,2023-12-30,Brazil,São Paulo,AMER,LATAM,Nissan Motor,1098,Transportation,Strategic,Support,209.7,2,0.0,100.656,48.0
AMER-2023-118885,2023-12-30,United States,New York City,AMER,NAMER,Kroger,1057,Retail,SMB,FinanceHub,393.568,4,20.0,-44.2764,-11.25
AMER-2023-118885,2023-12-30,United States,New York City,AMER,NAMER,Kroger,1057,Retail,SMB,Site Analytics,302.376,3,20.0,22.6782,7.5
EMEA-2023-158526,2023-12-30,Ireland,Dublin,EMEA,UKIR,Costco Wholesale,1025,Retail,SMB,FinanceHub,300.98,1,0.0,87.2842,29.0
AMER-2023-146626,2023-12-30,United States,San Francisco,AMER,NAMER,Allianz,1080,Finance,Strategic,SaaS Connector Pack,101.12,8,0.0,37.4144,37.0
AMER-2023-130631,2023-12-30,Canada,Montreal,AMER,NAMER,Johnson & Johnson,1055,Healthcare,SMB,SaaS Connector Pack,68.46,2,0.0,20.538,30.0
EMEA-2023-158526,2023-12-30,Ireland,Dublin,EMEA,UKIR,Costco Wholesale,1025,Retail,SMB,FinanceHub,1207.84,8,0.0,314.0384,26.0
AMER-2023-130631,2023-12-30,Canada,Montreal,AMER,NAMER,Johnson & Johnson,1055,Healthcare,SMB,Storage,19.6,5,0.0,9.604,49.0
EMEA-2023-158526,2023-12-30,Ireland,Dublin,EMEA,UKIR,Costco Wholesale,1025,Retail,SMB,FinanceHub,258.75,3,0.0,77.625,30.0
EMEA-2023-102638,2023-12-30,United Kingdom,London,EMEA,UKIR,Allstate,1003,Finance,SMB,Storage,6.03,3,0.0,2.9547,49.0
EMEA-2023-158526,2023-12-30,Ireland,Dublin,EMEA,UKIR,Costco Wholesale,1025,Retail,SMB,ContactMatcher,12.53,1,0.0,5.8891,47.0
APJ-2023-122798,2023-12-29,New Zealand,Auckland,APJ,ANZ,Comcast,1022,Communications,SMB,Marketing Suite - Gold,118.25,5,0.0,34.2925,29.0
EMEA-2023-127516,2023-12-29,South Africa,Johannesburg,EMEA,MEA,Lukoil,1044,Energy,Enterprise,Marketing Suite - Gold,64.784,1,20.0,-12.9568,-20.0
APJ-2023-122798,2023-12-29,New Zealand,Auckland,APJ,ANZ,Comcast,1022,Communications,SMB,Support,4.28,1,0.0,1.926,45.0
AMER-2023-129805,2023-12-29,Canada,Toronto,AMER,NAMER,BNP Paribas,1065,Finance,Strategic,SaaS Connector Pack,7.4,2,0.0,3.034,41.0
APJ-2023-136539,2023-12-29,Japan,Sapporo,APJ,JAPN,Mondelez International,1067,Consumer Products,SMB,Marketing Suite,78.8528,2,32.0,-11.596,-14.71
APJ-2023-136539,2023-12-29,Japan,Sapporo,APJ,JAPN,Mondelez International,1067,Consumer Products,SMB,ChatBot Plugin,27.168,2,20.0,2.7168,10.0
EMEA-2023-135111,2023-12-29,Qatar,Doha,EMEA,MEA,Royal Dutch Shell,1031,Energy,Enterprise,ChatBot Plugin,2.48,1,0.0,0.868,35.0
EMEA-2023-135111,2023-12-29,Qatar,Doha,EMEA,MEA,Royal Dutch Shell,1031,Energy,Enterprise,ContactMatcher,25.9,5,0.0,12.691,49.0
AMER-2023-163979,2023-12-29,United States,Los Angeles,AMER,NAMER,Apple,1008,Tech,Strategic,Marketing Suite - Gold,725.84,4,0.0,210.4936,29.0
EMEA-2023-164826,2023-12-29,United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,1033,Tech,SMB,Site Analytics,14.85,3,0.0,4.0095,27.0
EMEA-2023-162068,2023-12-29,Russia,Moscow,EMEA,EU-EAST,Wells Fargo,1099,Finance,Strategic,ContactMatcher,1.188,2,70.0,-0.99,-83.33
AMER-2023-101322,2023-12-29,United States,Jacksonville,AMER,NAMER,UnitedHealth Group,1092,Healthcare,Strategic,FinanceHub,340.704,6,20.0,-34.0704,-10.0
APJ-2023-163860,2023-12-29,Australia,Adelaide,APJ,ANZ,Itochu,1032,Finance,Strategic,ContactMatcher,1.68,5,80.0,-2.688,-160.0
APJ-2023-163860,2023-12-29,Australia,Adelaide,APJ,ANZ,Itochu,1032,Finance,Strategic,SaaS Connector Pack,2.96,2,60.0,-1.406,-47.5
EMEA-2023-164826,2023-12-29,United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,1033,Tech,SMB,ContactMatcher,33.264,7,20.0,11.2266,33.75
EMEA-2023-164826,2023-12-29,United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,1033,Tech,SMB,Storage,13.96,4,0.0,6.4216,46.0
APJ-2023-163860,2023-12-29,Australia,Adelaide,APJ,ANZ,Itochu,1032,Finance,Strategic,SaaS Connector Pack,7.968,3,60.0,-2.3904,-30.0
APJ-2023-163860,2023-12-29,Australia,Adelaide,APJ,ANZ,Itochu,1032,Finance,Strategic,FinanceHub,113.372,2,30.0,-3.2392,-2.86
EMEA-2023-164826,2023-12-29,United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,1033,Tech,SMB,FinanceHub,72.45,7,0.0,34.776,48.0
AMER-2023-134404,2023-12-28,Mexico,Monterrey,AMER,LATAM,AmerisourceBergen,1007,Healthcare,Strategic,Site Analytics,164.388,2,40.0,-35.6174,-21.67
AMER-2023-134404,2023-12-28,Mexico,Monterrey,AMER,LATAM,AmerisourceBergen,1007,Healthcare,Strategic,ChatBot Plugin,13.248,4,20.0,3.6432,27.5
